Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
177.231.22.67-192.168.0.19-46763-53114-17,177.231.22.67,46763,192.168.0.19,53114,17,24/10/2021 10:14:01 AM,119891338,447,705,81275.0,677112.0,1237.0,64.0,181.8232662192393,332.2283678828151,1249.0,64.0,960.4425531914881,498.78703143937935,6325.619620660168,9.608700838754507,104162.76107732416,360988.36661619105,2976560.0,2.0,1.1989054E8,268812.8699551571,580960.7489121741,3547055.0,2.0,1.19891095E8,170299.8508522728,469103.95820625155,2976560.0,8.0,0,0,0,0,3576,5640,3.7283761067042223,5.880324732050283,64.0,1249.0,657.8378143972251,582.2371371838564,339000.0839160528,0,0,0,0,0,0,0,0,1.0,658.4088541666666,181.82326621923937,960.4425531914893,0,0,0,25195,37,16907,10,1890,16,15746,0,0,446,8,0,0,0,0,0,0,0,0,NeedManualLabel
194.158.87.11-192.168.0.19-36109-60331-17,194.158.87.11,36109,192.168.0.19,60331,17,24/10/2021 10:14:01 AM,119968534,857,1466,113996.0,1619548.0,1225.0,64.0,133.01750291715285,258.1358783715193,1249.0,64.0,1104.7394270122793,377.7055415037947,14449.98902795628,19.36341074235349,51666.03531438418,241448.9282045322,2563254.0,1.0,1.19968089E8,140149.63668224294,406466.74578100047,2566596.0,1.0,1.19967773E8,81889.26484641626,317880.69536115107,2563470.0,2.0,0,0,0,0,6856,11728,7.143539821866957,12.219870920486533,64.0,1249.0,746.4582616178996,578.324150128804,334458.82262220344,0,0,0,0,0,0,0,0,1.0,746.7795953508395,133.01750291715285,1104.7394270122784,0,0,0,55881,74,31036,23,3080,39,43771,0,0,856,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-189.217.193.215-44194-48010-17,192.168.0.19,44194,189.217.193.215,48010,17,24/10/2021 10:14:01 AM,119928552,209,211,71654.0,72896.0,1249.0,64.0,342.8421052631578,483.2703982596163,1225.0,64.0,345.4786729857821,466.7787007730467,1205.3009695305918,3.5020851414932452,286225.6610978518,534996.0011468534,2534333.0,10.0,1.19928552E8,576579.5769230765,681530.311039699,2534648.0,10.0,1.19329876E8,568237.5047619044,687196.2577993899,2534602.0,20.0,0,0,0,0,1672,1688,1.7427042727906863,1.759380868702559,64.0,1249.0,346.31591448931107,475.973341048617,226550.62138898304,0,0,0,0,0,0,0,0,1.0,347.1404761904762,342.8421052631579,345.478672985782,0,0,0,4758,13,2776,5,1791,5,1822,0,0,208,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-5.159.150.87-43175-63899-17,192.168.0.19,43175,5.159.150.87,63899,17,24/10/2021 10:14:01 AM,119928222,162,119,68658.0,9310.0,1249.0,64.0,423.81481481481507,521.9222024106851,100.0,64.0,78.23529411764711,17.139361914013644,650.1222039296138,2.3430681728942835,428315.0785714284,697830.542010628,2633161.0,12.0,1.19928222E8,744895.7888198758,869014.660581414,2652764.0,12.0,1.19349888E8,1011439.7288135599,846746.6343103218,2633377.0,36.0,0,0,0,0,1296,952,1.3508079857967041,0.992260187097579,64.0,1249.0,280.9113475177306,434.39820844551,188701.80350066876,0,0,0,0,0,0,0,0,0.0,281.9110320284698,423.81481481481484,78.23529411764706,0,0,0,2988,9,2085,3,1560,2,211,0,0,161,8,0,0,0,0,0,0,0,0,NeedManualLabel
185.41.96.32-192.168.0.19-65416-42262-17,185.41.96.32,65416,192.168.0.19,42262,17,24/10/2021 10:14:01 AM,119931015,844,603,786351.0,212450.0,1249.0,64.0,931.6954976303317,493.26148294891453,1249.0,64.0,352.32172470978423,500.08199258852125,8328.129299998003,12.06526935505382,82939.84439834017,310771.8947715452,2602294.0,-1.0,1.19530871E8,141792.25504151834,421811.2001401991,2602583.0,2.0,1.19930979E8,199220.8953488372,480381.8565509338,2602504.0,11.0,0,0,0,0,6752,4824,7.0373789465552345,5.027890408498585,64.0,1249.0,690.6422651933705,572.3596043744485,327595.51671967516,0,0,0,0,0,0,0,0,0.0,691.1195577055978,931.6954976303317,352.3217247097844,0,0,0,31096,44,18340,22,20693,15,5590,0,0,843,8,0,0,0,0,0,0,0,0,NeedManualLabel
91.116.33.227-192.168.0.19-30275-36808-17,91.116.33.227,30275,192.168.0.19,36808,17,24/10/2021 10:14:01 AM,119928215,473,340,398749.0,79064.0,1249.0,64.0,843.021141649049,531.0411579308053,1249.0,64.0,232.54117647058837,398.26865876338314,3984.158356730316,6.779055287365029,147694.84605911313,384910.868285472,2546826.0,1.0,1.19526207E8,253233.48940677952,515172.6649390756,2546967.0,5.0,1.19928189E8,353770.46902654856,575149.2555531667,2547067.0,11.0,0,0,0,0,3784,2720,3.9440260158962595,2.83502927146877,64.0,1249.0,588.5282555282558,566.6366219335496,321077.0613162644,0,0,0,0,0,0,0,0,0.0,589.2521525215252,843.0211416490487,232.54117647058823,0,0,0,14410,24,8264,12,10493,8,2080,0,0,472,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-45.191.44.5-55203-64446-17,192.168.0.19,55203,45.191.44.5,64446,17,24/10/2021 10:14:01 AM,119942608,448,423,93213.0,83258.0,1249.0,64.0,208.06473214285705,373.9565561231539,1225.0,64.0,196.82742316784893,319.87014694240463,1471.295338183742,7.261806413280591,137865.06666666683,341621.15018155315,2494308.0,11.0,1.19942608E8,268327.98210290796,488240.9077886288,2804176.0,11.0,1.18350996E8,280452.5971563978,528940.1261961577,2600002.0,11.0,0,0,0,0,3584,3384,3.7351197165897876,3.526686696690804,64.0,1249.0,203.7798165137614,350.1014216259852,122571.00542453586,0,0,0,0,0,0,0,0,0.0,204.0137772675086,208.06473214285714,196.8274231678487,0,0,0,5963,29,2568,13,2741,12,2448,0,0,447,8,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.19-31.43.191.162-58746-8443-6,192.168.0.19,58746,31.43.191.162,8443,6,24/10/2021 10:14:04 AM,117353927,50,25,13957.0,26846.0,568.0,0.0,279.14000000000004,282.6001003798369,1298.0,364.0,1073.84,407.1211613266989,347.69181605656877,0.6390923756645996,1585863.8783783787,2269881.9196155774,7847487.0,26.0,1.17353927E8,2394978.1020408156,2420273.993857877,7847487.0,155122.0,1.17188231E8,4882842.958333335,1676801.781769752,9000533.0,2002785.0,1,0,0,0,1600,800,0.42606158377639974,0.21303079188819987,0.0,1298.0,544.3552631578948,495.5480388135239,245567.85877192978,0,0,0,50,75,0,0,0,0.0,551.6133333333333,279.14,1073.84,0,0,0,0,0,0,2,558,1,1073,501,501,24,32,3598863.7777777775,7020142.443857083,1.9026094E7,155122.0,5973719.222222222,754892.2026216355,7847487.0,5009795.0,NeedManualLabel
192.168.0.19-167.60.53.246-47027-49080-17,192.168.0.19,47027,167.60.53.246,49080,17,24/10/2021 10:14:01 AM,119351562,135,90,56856.0,7119.0,1249.0,64.0,421.1555555555554,520.7652788175211,100.0,64.0,79.09999999999998,17.420799914553903,536.0214724294937,1.885186890138899,532819.4732142852,839050.0438618615,4407830.0,9.0,1.19351562E8,890683.2985074626,1007906.7371491806,4407830.0,9.0,9.8786075E7,1109955.8988764044,900497.8917674333,3479434.0,29758.0,0,0,0,0,1080,720,1.1311121340833394,0.7540747560555596,64.0,1249.0,288.6017699115043,440.2620944608743,193830.7118190758,0,0,0,0,0,0,0,0,0.0,289.88444444444445,421.15555555555557,79.1,0,0,0,2724,9,1746,3,1421,2,177,0,0,134,8,0,0,0,0,0,0,0,0,NeedManualLabel
142.250.78.78-192.168.0.19-443-45794-6,142.250.78.78,443,192.168.0.19,45794,6,24/10/2021 10:14:04 AM,116566851,118,83,10708.0,43328.0,409.0,0.0,90.74576271186442,142.49895404868366,1418.0,0.0,522.0240963855423,599.6138996725944,463.56232098952387,1.7243324176270318,582834.2549999995,2626835.7621442424,1.588159E7,1.0,1.16566851E8,996297.8717948716,3387445.704490802,1.5908881E7,4.0,1.16543605E8,1421263.4756097563,3977597.9778178222,1.5909721E7,1.0,1,0,0,0,3776,2656,1.0122946531342774,0.7120377644927545,0.0,1418.0,269.0891089108909,451.2204257534365,203599.8726171125,0,0,0,95,201,0,0,0,0.0,270.4278606965174,90.7457627118644,522.0240963855422,0,0,0,4503,9,49557,10,973,7,3938,501,1055,48,32,732873.2222222222,1385622.2437792865,4196369.0,108326.0,1.2206655333333334E7,3210483.3758406607,1.588159E7,7224609.0,NeedManualLabel
172.217.30.202-192.168.0.19-443-42146-6,172.217.30.202,443,192.168.0.19,42146,6,24/10/2021 10:14:05 AM,103487327,37,35,2244.0,3039.0,126.0,0.0,60.64864864864864,49.694743862581355,1384.0,0.0,86.82857142857144,266.20917093345156,51.04972901657804,0.6957373630879461,1457567.9859154932,4892871.599001115,1.9444846E7,3.0,1.03487293E8,2874647.027777778,6610105.9919933,1.9444896E7,10.0,1.03487288E8,3043743.7647058824,6771940.947742348,1.9444883E7,8.0,1,0,0,0,1184,1120,0.35753170047575006,0.338205662612196,0.0,1384.0,74.09589041095889,186.83966420909024,34909.0601217656,0,0,0,36,72,0,0,0,0.0,75.125,60.648648648648646,86.82857142857142,0,0,0,1101,7,2760,4,249,3,337,630,501,27,32,1312893.6,419320.06830618065,1931646.0,906215.0,1.90608024E7,359407.76049885177,1.9444846E7,1.8633555E7,NeedManualLabel
192.168.0.19-172.217.30.202-42148-443-6,192.168.0.19,42148,172.217.30.202,443,6,24/10/2021 10:14:05 AM,82992568,12,20,1099.0,556.0,237.0,0.0,91.58333333333333,107.76612584104468,69.0,0.0,27.800000000000004,26.670701449145906,19.94154464529884,0.38557669404807426,2677179.6129032257,8686068.030250875,3.9541372E7,3.0,8.2973424E7,7543038.545454546,1.3654913110011725E7,3.9565518E7,26.0,8.2966459E7,4366655.736842104,1.0873073024600737E7,3.9574394E7,3.0,1,0,0,0,384,640,0.14459126026802785,0.24098543378004642,0.0,237.0,57.27272727272729,79.91216769337785,6385.954545454544,0,0,0,20,32,0,0,0,1.0,59.0625,91.58333333333333,27.8,0,0,0,413,5,4143,4,366,6,185,501,374,7,32,131681.66666666666,8742.511614709661,140815.0,123391.0,2.7494165E7,1.0435636529130219E7,3.9541372E7,2.1244481E7,NeedManualLabel
192.168.0.19-151.139.236.233-38110-443-6,192.168.0.19,38110,151.139.236.233,443,6,24/10/2021 10:15:30 AM,44132356,3,3,0.0,77.0,0.0,0.0,0.0,0.0,46.0,0.0,25.666666666666668,23.459184413217212,1.7447516284877245,0.1359546723496928,8826471.2,1.96967013815912E7,4.406096E7,46.0,4.4131621E7,2.20658105E7,3.1205440376308177E7,4.4131389E7,232.0,4.4061973E7,2.20309865E7,3.1155087302419882E7,4.406096E7,1013.0,0,0,0,0,60,60,0.0679773361748464,0.0679773361748464,0.0,46.0,11.0,19.27865832122834,371.6666666666667,2,0,0,2,6,0,0,0,1.0,12.833333333333334,0.0,25.666666666666668,0,0,0,0,0,0,3,0,3,77,4174,31,0,20,70383.0,0.0,70383.0,70383.0,4.406096E7,0.0,4.406096E7,4.406096E7,NeedManualLabel
192.168.0.19-151.139.236.233-38110-443-6,192.168.0.19,38110,151.139.236.233,443,6,24/10/2021 10:16:14 AM,64836,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.27059041273366,32418.0,45780.921441141836,64790.0,46.0,64836.0,64836.0,0.0,64836.0,64836.0,0,0,0,0,0,0,0,0,0,40,20,30.847060275155776,15.423530137577888,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,31,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.0.1-224.0.0.1-0-0-0,192.168.0.1,0,224.0.0.1,0,0,24/10/2021 10:14:26 AM,90220679,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0443357337179872,3.0073559666666668E7,20889.1183713754,3.0090281E7,3.0050144E7,9.0220679E7,3.0073559666666668E7,20889.1183713754,3.0090281E7,3.0050144E7,0,0,0,0,0,0,0,0,0,0,0,0.0443357337179872,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0073559666666668E7,20889.1183713754,3.0090281E7,3.0050144E7,NeedManualLabel
192.168.0.19-224.0.0.251-0-0-0,192.168.0.19,0,224.0.0.251,0,0,24/10/2021 10:14:26 AM,90192013,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.04434982507819179,3.0064004333333332E7,48663.74429011123,3.0120006E7,3.0032001E7,9.0192013E7,3.0064004333333332E7,48663.74429011123,3.0120006E7,3.0032001E7,0,0,0,0,0,0,0,0,0,0,0,0.04434982507819179,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0064004333333332E7,48663.74429011123,3.0120006E7,3.0032001E7,NeedManualLabel
192.168.0.19-142.250.78.99-55050-443-6,192.168.0.19,55050,142.250.78.99,443,6,24/10/2021 10:14:27 AM,91416111,23,37,826.0,1361.0,102.0,0.0,35.91304347826087,41.508939939025915,96.0,0.0,36.78378378378379,34.94291784478662,23.923572946567372,0.6563394498372392,1549425.6101694915,5926132.934273077,2.9996245E7,4.0,9.1378756E7,4153579.8181818174,9268131.755197985,3.0024178E7,15.0,9.1386596E7,2538516.5555555555,7466197.823687454,3.0016204E7,4.0,1,0,0,0,796,1184,0.2515967891042751,0.4047426607329642,0.0,102.0,37.442622950819654,37.74454688656536,1424.6508196721309,0,0,0,35,60,0,0,0,1.0,38.06666666666667,35.91304347826087,36.78378378378378,0,0,0,364,5,4740,4,165,7,272,501,273,11,32,765016.75,1319267.4408537932,2743904.0,100578.0,2.20622055E7,8662576.531450002,2.9996245E7,1.1499374E7,NeedManualLabel
172.217.204.189-192.168.0.19-443-45158-6,172.217.204.189,443,192.168.0.19,45158,6,24/10/2021 10:14:43 AM,104380799,11,11,742.0,515.0,360.0,0.0,67.45454545454545,99.12352257296311,476.0,0.0,46.81818181818182,142.8235402038601,12.042444702880651,0.21076673306553248,4970514.238095239,1.038253179877064E7,2.7859715E7,4.0,1.04380758E8,1.0438075799999999E7,1.3272344424075698E7,2.7859722E7,49.0,1.0438076E8,1.0438075999999998E7,1.3272302426830795E7,2.7859744E7,27.0,1,0,0,0,352,352,0.10538336653276624,0.10538336653276624,0.0,476.0,56.91304347826087,117.6682211843106,13845.810276679842,0,0,0,11,22,0,0,0,1.0,59.5,67.45454545454545,46.81818181818182,0,0,0,161,4,79624,2,185,2,128,309,501,8,32,277464.0,554853.3333683776,1109744.0,29.0,2.58177255E7,1597822.1800656249,2.7859715E7,2.4394198E7,NeedManualLabel
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,24/10/2021 10:15:03 AM,50012338,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.03999013203501904,5.0012338E7,0.0,5.0012338E7,5.0012338E7,5.0012338E7,5.0012338E7,0.0,5.0012338E7,5.0012338E7,0,0,0,0,0,0,0,0,0,0,0,0.03999013203501904,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5.0012338E7,0.0,5.0012338E7,5.0012338E7,NeedManualLabel
