Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Flow Packets Count,Flow Bytes Count,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Rel Std,Fwd Packet Length Median,Fwd Packet Length IQR,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Bwd Packet Length Rel Std,Bwd Packet Length Median,Bwd Packet Length IQR,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Rel Std,Flow IAT Median,Flow IAT IQR,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Fwd IAT Rel Std,Fwd IAT Median,Fwd IAT IQR,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd IAT Rel Std,Bwd IAT Median,Bwd IAT IQR,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,Packet Length Rel Std,Packet Length Median,Packet Length IQR,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Rel Std,Active Median,Active IQR,Active Max,Active Min,Idle Mean,Idle Std,Idle Rel Std,Idle Median,Idle IQR,Idle Max,Idle Min,Label
192.168.0.2-177.240.130.195-38386-65260-17,192.168.0.2,38386,177.240.130.195,65260,17,27/10/2021 03:46:48 PM,118906669,268,95970,145,123,86332.0,9638.0,1145.0,64.0,595.3931034482758,520.0619527271051,0.8734766152229793,1093.0,1053.0,100.0,64.0,78.35772357723577,17.176580549270774,0.21920724295085134,65.0,35.0,807.1035948370567,2.2538685361710034,445343.3295880149,629603.2902774506,2610448.0,147.0,1.4137481094864353,137551.0,504974.0,1.18777013E8,824840.3680555555,779150.1274483051,2610712.0,5337.0,0.944607172033834,623690.5,1105873.5,1.16887555E8,958094.7131147541,767797.9567593887,2610730.0,19406.0,0.8013800162442052,748944.5,1250438.25,0,0,0,0,1160,984,1.219443797555207,1.0344247386157963,64.0,1145.0,357.0074349442379,460.6070701572479,212158.8730788439,1.2901890130920985,92.0,1029.0,0,0,0,0,0,0,0,0,0.0,358.339552238806,595.3931034482758,78.35772357723577,0,0,0,3055,8,2047,3,2007,2,224,0,0,144,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.7-224.0.0.113-0-0-0,192.168.0.7,0,224.0.0.113,0,0,27/10/2021 03:46:46 PM,119980192,26,0,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.21670243701560338,4799207.68,3648895.7125821724,1.4090698E7,159948.0,0.7603121089734072,4052856.0,5779080.5,1.19980192E8,4799207.68,3648895.7125821724,1.4090698E7,159948.0,0.7603121089734072,4052856.0,5779080.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21670243701560338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4451384.5,1438611.6083418762,0.32318295764876664,4581550.5,2229981.5,6330609.0,1903656.0,8436911.6,2834074.200637826,0.3359137010085333,7931791.5,4486566.75,1.4090698E7,5074913.0,ManualLabel
192.168.0.2-186.154.59.147-56642-64050-17,192.168.0.2,56642,186.154.59.147,64050,17,27/10/2021 03:46:49 PM,119805931,402,184213,200,202,95169.0,89044.0,1161.0,64.0,475.845,509.1963724375085,1.0700887314934664,92.0,1029.0,1225.0,64.0,440.8118811881189,496.69956910358525,1.1267835335219016,100.0,1028.0,1537.594996027367,3.355426535602816,298767.90773067327,493307.29717892775,2892482.0,0.0,1.651138841938886,55104.0,351237.0,1.1976227E8,601820.4522613066,604877.9503237703,2892883.0,925.0,1.0050804156804165,456368.0,750722.0,1.19774427E8,595892.671641791,635573.4374175668,2892684.0,0.0,1.0665904577521454,384842.0,834396.5,0,0,0,0,1600,1616,1.6693664356232916,1.6860600999795243,64.0,1225.0,459.87593052109185,503.0799165927019,253089.40247891992,1.093947047897582,100.0,1028.0,0,0,0,0,0,0,0,0,1.0,461.0199004975124,475.845,440.81188118811883,0,0,0,5915,12,2881,5,2719,5,2544,0,0,199,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.1-224.0.0.1-0-0-0,192.168.0.1,0,224.0.0.1,0,0,27/10/2021 03:46:51 PM,90200063,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.04434586703115717,3.0066687666666668E7,32267.4309534139,3.0090455E7,3.0029954E7,0.0010731954018728534,3.0079654E7,60501.0,9.0200063E7,3.0066687666666668E7,32267.4309534139,3.0090455E7,3.0029954E7,0.0010731954018728534,3.0079654E7,60501.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04434586703115717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0066687666666668E7,32267.4309534139,0.0010731954018728534,3.0079654E7,60501.0,3.0090455E7,3.0029954E7,ManualLabel
192.168.0.2-224.0.0.251-0-0-0,192.168.0.2,0,224.0.0.251,0,0,27/10/2021 03:46:51 PM,90264017,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.04431444702931845,3.0088005666666668E7,17430.092780399456,3.0107998E7,3.0076E7,5.793036924248383E-4,3.0080019E7,31998.0,9.0264017E7,3.0088005666666668E7,17430.092780399456,3.0107998E7,3.0076E7,5.793036924248383E-4,3.0080019E7,31998.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04431444702931845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0088005666666668E7,17430.092780399456,5.793036924248383E-4,3.0080019E7,31998.0,3.0107998E7,3.0076E7,ManualLabel
192.168.0.7-239.0.0.250-0-0-0,192.168.0.7,0,239.0.0.250,0,0,27/10/2021 03:46:51 PM,90308445,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.04429264616393295,3.0102815E7,38919.71753494622,3.0139494E7,3.0061987E7,0.0012928929581816923,3.0106964E7,77507.0,9.0308445E7,3.0102815E7,38919.71753494622,3.0139494E7,3.0061987E7,0.0012928929581816923,3.0106964E7,77507.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04429264616393295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0102815E7,38919.71753494622,0.0012928929581816923,3.0106964E7,77507.0,3.0139494E7,3.0061987E7,ManualLabel
192.168.0.6-239.255.255.250-0-0-0,192.168.0.6,0,239.255.255.250,0,0,27/10/2021 03:46:51 PM,90200750,4,0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.04434552927774991,3.0066916666666668E7,114449.16676993911,3.0199071E7,3.000065E7,0.0038064816568578125,3.0001029E7,198421.0,9.020075E7,3.0066916666666668E7,114449.16676993911,3.0199071E7,3.000065E7,0.0038064816568578125,3.0001029E7,198421.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04434552927774991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0066916666666668E7,114449.16676993911,0.0038064816568578125,3.0001029E7,198421.0,3.0199071E7,3.000065E7,ManualLabel
192.168.0.2-31.43.191.162-50564-8443-6,192.168.0.2,50564,31.43.191.162,8443,6,27/10/2021 03:47:33 PM,81667537,60,18389,35,25,5704.0,12685.0,573.0,0.0,162.9714285714286,254.23096096385473,1.559972586559417,0.0,531.0,2896.0,0.0,507.3999999999999,742.8307905124377,1.4639944629728772,51.0,1199.0,225.16902891292045,0.7346860478968529,1384195.5423728807,3118425.795747516,1.0201308E7,0.0,2.25287952481172,153743.0,178464.0,8.1666851E7,2401966.2058823537,3848708.354507718,1.0303992E7,15.0,1.6023157799149421,164727.0,3666808.0,8.1489028E7,3395376.1666666665,4286758.216232307,1.0365117E7,0.0,1.2625282165542013,947914.0,8592206.0,0,0,0,0,1128,808,0.4285668612731642,0.3061191866236887,0.0,2896.0,301.4590163934426,536.3939029534946,287718.41912568297,1.779326123234715,0.0,536.0,2,2,0,26,59,0,0,0,0.0,306.48333333333335,162.97142857142856,507.4,0,0,0,4442,6,9011,2,475,2,1057,64240,501,12,32,1313906.25,1199806.4617943,0.9131598710290784,1248675.5,2083835.0,3196869.0,156716.0,8894422.375,2022206.7617786082,0.22735672722969918,9999424.0,3483412.25,1.0201308E7,5602714.0,ManualLabel
192.168.0.2-31.43.191.162-50564-8443-6,192.168.0.2,50564,31.43.191.162,8443,6,27/10/2021 03:48:54 PM,155068,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.89756751876596,155068.0,0.0,155068.0,155068.0,0.0,155068.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,6.44878375938298,6.44878375938298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
31.43.191.162-192.168.0.2-8443-50564-6,31.43.191.162,8443,192.168.0.2,50564,6,27/10/2021 03:48:55 PM,904,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,2212.3893805309735,904.0,0.0,904.0,904.0,0.0,904.0,0.0,904.0,904.0,0.0,904.0,904.0,0.0,904.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,2212.3893805309735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
