Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.19-34.117.237.239-49186-443-6,192.168.0.19,49186,34.117.237.239,443,6,21/10/2021 01:12:23 PM,112050792,6,5,141.0,78.0,39.0,0.0,23.5,19.107590114925536,39.0,0.0,15.6,21.361179742701477,1.9544707903537175,0.09816976572552918,1.1205079200000001E7,2.3625446826332055E7,5.8709047E7,49.0,1.12027196E8,2.24054392E7,3.069599954771545E7,5.8709047E7,277.0,1.12018522E8,2.80046305E7,3.2414730885028947E7,5.87749E7,859.0,1,0,0,0,192,160,0.053547144941197736,0.04462262078433145,0.0,39.0,21.5,19.435207041018955,377.72727272727275,2,0,0,6,11,0,0,0,0.0,23.454545454545453,23.5,15.6,0,0,0,0,0,0,3,70,2,39,501,272,3,32,49551.0,38613.68710703499,76855.0,22247.0,5.59639085E7,3882212.0972925345,5.8709047E7,5.321877E7,NeedManualLabel
192.168.0.1-224.0.0.1-0-0-0,192.168.0.1,0,224.0.0.1,0,0,21/10/2021 01:12:15 PM,90110011,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.044390184349217314,3.0036670333333332E7,25093.222876572338,3.0059853E7,3.0010026E7,9.0110011E7,3.0036670333333332E7,25093.222876572338,3.0059853E7,3.0010026E7,0,0,0,0,0,0,0,0,0,0,0,0.044390184349217314,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0036670333333332E7,25093.222876572338,3.0059853E7,3.0010026E7,NeedManualLabel
192.168.0.19-224.0.0.251-0-0-0,192.168.0.19,0,224.0.0.251,0,0,21/10/2021 01:12:15 PM,90151993,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.04436951271837107,3.0050664333333332E7,46194.372398954976,3.0104005E7,3.0023993E7,9.0151993E7,3.0050664333333332E7,46194.372398954976,3.0104005E7,3.0023993E7,0,0,0,0,0,0,0,0,0,0,0,0.04436951271837107,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.0050664333333332E7,46194.372398954976,3.0104005E7,3.0023993E7,NeedManualLabel
192.168.0.19-192.168.0.255-57621-57621-17,192.168.0.19,57621,192.168.0.255,57621,17,21/10/2021 01:12:20 PM,90053205,4,0,176.0,0.0,44.0,44.0,44.0,0.0,0,0,0,0,1.9544001793162162,0.04441818589355037,3.0017735E7,3865.08732113519,3.0022185E7,3.0015215E7,9.0053205E7,3.0017735E7,3865.08732113519,3.0022185E7,3.0015215E7,0,0,0,0,0,0,0,0,0,32,0,0.04441818589355037,0.0,44.0,44.0,44.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,55.0,44.0,0.0,0,0,0,0,0,0,1,58,0,0,0,0,3,8,0,0,0,0,3.0017735E7,3865.08732113519,3.0022185E7,3.0015215E7,NeedManualLabel
192.168.0.19-35.186.224.47-54402-443-6,192.168.0.19,54402,35.186.224.47,443,6,21/10/2021 01:12:28 PM,93100534,8,8,140.0,124.0,35.0,0.0,17.5,18.708286933869708,31.0,0.0,15.5,16.570196998570314,2.835644315423583,0.1718572312377929,6206702.266666667,1.2771050397004481E7,3.0913819E7,37.0,9.3100534E7,1.3300076285714284E7,1.6446973806606326E7,3.0913819E7,106037.0,9.3078919E7,1.329698842857143E7,1.6476288658175934E7,3.0939618E7,83412.0,1,0,0,0,256,256,0.08592861561889645,0.08592861561889645,0.0,35.0,17.588235294117652,17.15757421494007,294.3823529411764,0,0,0,8,16,0,0,0,1.0,18.6875,17.5,15.5,0,0,0,0,0,0,2,46,2,41,501,266,3,32,113853.33333333333,7405.965185803491,120766.0,106037.0,3.0882622333333332E7,27019.02463697262,3.0913819E7,3.0866702E7,NeedManualLabel
192.168.0.19-162.159.135.234-33038-443-6,192.168.0.19,33038,162.159.135.234,443,6,21/10/2021 01:12:33 PM,82575984,6,6,153.0,96.0,51.0,0.0,25.5,27.93385043276347,32.0,0.0,16.0,17.527121840165314,3.015404575742022,0.14532070244539863,7506907.636363637,1.6644234507163027E7,4.1175973E7,29.0,8.2575984E7,1.65151968E7,2.2508024251120426E7,4.1175973E7,73909.0,8.2553033E7,1.65106066E7,2.2533721402901247E7,4.1196482E7,49525.0,1,0,0,0,120,120,0.07266035122269932,0.07266035122269932,0.0,51.0,23.076923076923077,23.368288835020056,546.076923076923,0,0,0,6,12,0,0,0,1.0,25.0,25.5,16.0,0,0,0,0,0,0,3,76,3,48,501,69,2,20,78435.0,6400.7305833006285,82961.0,73909.0,4.11715015E7,6323.6559441512945,4.1175973E7,4.116703E7,NeedManualLabel
192.168.0.19-239.255.255.250-0-0-0,192.168.0.19,0,239.255.255.250,0,0,21/10/2021 01:12:15 PM,60096013,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.049920116996779805,3.00480065E7,135769.45173528543,3.014401E7,2.9952003E7,6.0096013E7,3.00480065E7,135769.45173528543,3.014401E7,2.9952003E7,0,0,0,0,0,0,0,0,0,0,0,0.049920116996779805,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.00480065E7,135769.45173528543,3.014401E7,2.9952003E7,NeedManualLabel
192.168.0.19-35.227.207.240-39836-443-6,192.168.0.19,39836,35.227.207.240,443,6,21/10/2021 01:12:57 PM,111278498,6,5,141.0,78.0,39.0,0.0,23.5,19.107590114925536,39.0,0.0,15.6,21.361179742701477,1.9680351904102804,0.09885108262334742,1.1127849799999999E7,2.3478478992943313E7,5.8930459E7,49.0,1.11242476E8,2.22484952E7,3.051419765166631E7,5.8930459E7,284.0,1.11250221E8,2.781255525E7,3.2229849822605334E7,5.8995776E7,870.0,1,0,0,0,192,160,0.05391877234000768,0.04493231028333974,0.0,39.0,21.5,19.435207041018955,377.72727272727275,2,0,0,6,11,0,0,0,0.0,23.454545454545453,23.5,15.6,0,0,0,0,0,0,3,70,2,39,501,273,3,32,47256.5,34607.9271916132,71728.0,22785.0,5.55738395E7,4746976.820625997,5.8930459E7,5.221722E7,NeedManualLabel
192.168.0.19-181.49.123.160-42080-443-6,192.168.0.19,42080,181.49.123.160,443,6,21/10/2021 01:12:37 PM,91668494,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06545324067394409,1.83336988E7,2.5088080158201527E7,4.6574635E7,14769.0,9.1651993E7,4.58259965E7,1083292.5385252591,4.6592E7,4.5059993E7,9.1651129E7,4.58255645E7,1080232.1803762838,4.6589404E7,4.5061725E7,0,0,0,0,96,96,0.032726620336972045,0.032726620336972045,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,1371,243,0,32,16067.0,1835.6492039602774,17365.0,14769.0,4.58099295E7,1081456.8893212988,4.6574635E7,4.5045224E7,NeedManualLabel
192.168.0.19-104.154.127.227-51742-4070-6,192.168.0.19,51742,104.154.127.227,4070,6,21/10/2021 01:12:48 PM,70461543,5,3,22.0,33.0,11.0,0.0,4.4,6.024948132556827,11.0,11.0,11.0,0.0,0.7805676353127833,0.11353711059095029,1.0065934714285715E7,2.2367910956888158E7,6.00627E7,41.0,7.0461543E7,1.761538575E7,2.869375964688814E7,6.00627E7,108743.0,7.0352361E7,3.51761805E7,3.5348636394148506E7,6.0171441E7,1.018092E7,1,0,0,0,160,96,0.07096069411934393,0.04257641647160636,0.0,11.0,7.333333333333333,5.5,30.249999999999996,0,0,0,5,8,0,0,0,0.0,8.25,4.4,11.0,0,0,0,0,0,0,2,11,1,16,501,40,1,32,54611.0,77173.6340986998,109181.0,41.0,3.5121789E7,3.527177459414031E7,6.00627E7,1.0180878E7,NeedManualLabel
