Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Flow Packets Count,Flow Bytes Count,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Fwd Packet Length Rel Std,Fwd Packet Length Median,Fwd Packet Length IQR,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Bwd Packet Length Rel Std,Bwd Packet Length Median,Bwd Packet Length IQR,Flow Bytes/s,Flow Packets/s,Flow Avg Bytes/Packets,Fwd Avg Bytes/Packets,Bwd Avg Bytes/Packets,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Flow IAT Rel Std,Flow IAT Median,Flow IAT IQR,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Fwd IAT Rel Std,Fwd IAT Median,Fwd IAT IQR,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd IAT Rel Std,Bwd IAT Median,Bwd IAT IQR,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,Packet Length Rel Std,Packet Length Median,Packet Length IQR,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Rel Std,Active Median,Active IQR,Active Max,Active Min,Idle Mean,Idle Std,Idle Rel Std,Idle Median,Idle IQR,Idle Max,Idle Min,Label
192.168.0.2-149.154.175.50-50768-443-6,192.168.0.2,50768,149.154.175.50,443,6,13/11/2021 12:32:27 PM,182178,7,366,5,2,193.0,173.0,193.0,0.0,38.6,86.31222393149187,2.2360679774997894,0.0,96.5,173.0,0.0,86.5,122.32947314527271,1.414213562373095,86.5,173.0,2009.0241412245166,38.42395898516835,52.285714285714285,38.6,86.5,30363.0,45492.243752094706,94846.0,44.0,1.4982789497775155,2190.5,85808.75,182178.0,45544.5,50303.95018617657,94894.0,164.0,1.1045010964260573,43560.0,90697.0,87288.0,87288.0,0.0,87288.0,87288.0,0.0,87288.0,0.0,0,0,0,0,156,72,27.445684989405965,10.978273995762386,0.0,193.0,45.75,84.88100914978399,7204.785714285715,1.8553226043668631,0.0,129.75,1,2,1,2,5,0,0,0,0.0,52.285714285714285,38.6,86.5,0,0,0,0,0,0,0,0,0,0,64240,235,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.55-48612-80-6,192.168.0.2,48612,149.154.175.55,80,6,13/11/2021 12:32:27 PM,182315,7,848,5,2,497.0,351.0,497.0,0.0,99.4,222.26515696347911,2.23606797749979,0.0,248.5,351.0,0.0,175.5,248.19448019647817,1.414213562373095,175.5,351.0,4651.290349121026,38.39508542906508,121.14285714285714,99.4,175.5,30385.833333333336,45275.63294495911,95250.0,21.0,1.490024395522884,2594.0,85116.75,182315.0,45578.75,49967.34424518344,95305.0,167.0,1.0962859719756124,43421.5,90543.25,87044.0,87044.0,0.0,87044.0,87044.0,0.0,87044.0,0.0,0,0,0,0,156,72,27.425061020760772,10.970024408304308,0.0,497.0,106.0,200.11496695649728,40046.0,1.8878770467594084,0.0,263.25,1,2,1,2,5,0,0,0,0.0,121.14285714285714,99.4,175.5,0,0,0,0,0,0,0,0,0,0,64240,341,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.50-38632-80-6,192.168.0.2,38632,149.154.175.50,80,6,13/11/2021 12:32:27 PM,180600,7,611,5,2,344.0,267.0,344.0,0.0,68.8,153.84147685198553,2.23606797749979,0.0,172.0,267.0,0.0,133.5,188.79751057680818,1.414213562373095,133.5,267.0,3383.1672203765224,38.75968992248062,87.28571428571429,68.8,133.5,30100.0,44786.33479533685,93518.0,36.0,1.4879180995128523,2595.0,84707.0,180600.0,45150.0,49390.72200997538,93555.0,176.0,1.0939251829451913,43434.5,89226.5,87046.0,87046.0,0.0,87046.0,87046.0,0.0,87046.0,0.0,0,0,0,0,156,72,27.68549280177187,11.074197120708748,0.0,344.0,76.375,142.90849969723385,20422.839285714286,1.8711423855611633,0.0,200.25,1,2,1,2,5,0,0,0,0.0,87.28571428571429,68.8,133.5,0,0,0,0,0,0,0,0,0,0,64240,235,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.50-192.168.0.2-443-50768-6,149.154.175.50,443,192.168.0.2,50768,6,13/11/2021 12:32:27 PM,40,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49999.99999999999,0.0,0.0,0.0,40.0,0.0,40.0,40.0,0.0,40.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,24999.999999999996,24999.999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,235,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.50-192.168.0.2-80-38632-6,149.154.175.50,80,192.168.0.2,38632,6,13/11/2021 12:32:27 PM,54,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37037.03703703704,0.0,0.0,0.0,54.0,0.0,54.0,54.0,0.0,54.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,18518.51851851852,18518.51851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,235,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.55-192.168.0.2-80-48612-6,149.154.175.55,80,192.168.0.2,48612,6,13/11/2021 12:32:27 PM,69,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28985.507246376812,0.0,0.0,0.0,69.0,0.0,69.0,69.0,0.0,69.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,14492.753623188406,14492.753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,341,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.55-43732-443-6,192.168.0.2,43732,149.154.175.55,443,6,13/11/2021 12:32:28 PM,179960,7,274,5,2,121.0,153.0,121.0,0.0,24.2,54.11284505549491,2.23606797749979,0.0,60.5,153.0,0.0,76.5,108.18733752154178,1.4142135623730951,76.5,153.0,1522.5605690153366,38.89753278506335,39.142857142857146,24.2,76.5,29993.333333333336,40719.120750166825,96144.0,54.0,1.3576057151644862,10036.0,71695.5,179960.0,44990.0,43226.906852098495,96207.0,179.0,0.960811443700789,41787.0,82941.0,83762.0,83762.0,0.0,83762.0,83762.0,0.0,83762.0,0.0,0,0,0,0,156,72,27.783951989330962,11.113580795732384,0.0,153.0,34.25,63.99274512451727,4095.0714285714284,1.8684013175041538,0.0,90.75,1,2,1,2,5,0,0,0,0.0,39.142857142857146,24.2,76.5,0,0,0,0,0,0,0,0,0,0,64240,335,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.50-38650-80-6,192.168.0.2,38650,149.154.175.50,80,6,13/11/2021 12:32:28 PM,204303,7,832,5,2,497.0,335.0,497.0,0.0,99.4,222.26515696347911,2.23606797749979,0.0,248.5,335.0,0.0,167.5,236.88077169749343,1.4142135623730951,167.5,335.0,4072.3826864999533,34.26283510276403,118.85714285714286,99.4,167.5,34050.5,43108.863509723844,107747.0,28.0,1.266027327343911,23077.5,64645.0,204303.0,51075.75,44058.829182317895,107775.0,265.0,0.8626173709112034,48131.5,81731.75,96513.0,96513.0,0.0,96513.0,96513.0,0.0,96513.0,0.0,0,0,0,0,156,72,24.47345364483145,9.78938145793258,0.0,497.0,104.0,197.37781030298214,38958.0,1.8978635606055976,0.0,251.25,1,2,1,2,5,0,0,0,0.0,118.85714285714286,99.4,167.5,0,0,0,0,0,0,0,0,0,0,64240,235,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
192.168.0.2-149.154.175.55-48632-80-6,192.168.0.2,48632,149.154.175.55,80,6,13/11/2021 12:32:28 PM,205814,7,570,5,2,340.0,230.0,340.0,0.0,68.0,152.0526224699857,2.23606797749979,0.0,170.0,230.0,0.0,115.0,162.63455967290594,1.4142135623730951,115.0,230.0,2769.490899550079,34.01129174886062,81.42857142857143,68.0,115.0,34302.33333333333,43961.30063893318,110452.0,22.0,1.281583390020111,23621.5,63632.25,205814.0,51453.5,45248.087727549326,110484.0,201.0,0.8793976644455542,47564.5,82962.5,95340.0,95340.0,0.0,95340.0,95340.0,0.0,95340.0,0.0,0,0,0,0,156,72,24.29377982061473,9.717511928245893,0.0,340.0,71.25,135.16524278505497,18269.64285714286,1.8970560390884907,0.0,172.5,1,2,1,2,5,0,0,0,0.0,81.42857142857143,68.0,115.0,0,0,0,0,0,0,0,0,0,0,64240,334,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
149.154.175.55-192.168.0.2-443-43732-6,149.154.175.55,443,192.168.0.2,43732,6,13/11/2021 12:32:29 PM,30,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66666.66666666667,0.0,0.0,0.0,30.0,0.0,30.0,30.0,0.0,30.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,20,33333.333333333336,33333.333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,335,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ManualLabel
